Designator,Mid X,Mid Y,Layer,Rotation
U1,10.00,31.00,Top,0
U2,10.00,19.00,Top,0
U3,8.00,14.00,Top,0
U4,8.00,10.00,Top,0
U5,15.00,10.00,Top,0
D1,10.00,5.00,Top,0
D2,15.00,5.00,Top,0
D3,20.00,5.00,Top,0
D4,25.00,5.00,Top,0
D5,30.00,5.00,Top,0
D6,12.00,8.00,Top,0
J1,25.00,2.00,Top,90
C1,9.00,28.00,Top,0
C2,11.00,28.00,Top,0
C3,6.00,15.00,Top,90
C4,6.00,11.00,Top,90
C5,23.00,3.50,Top,0
C6,16.00,11.00,Top,0
C7,10.00,14.00,Top,90
R1,20.00,31.00,Top,0
R2,20.00,29.00,Top,0
R3,41.00,41.00,Top,90
R4,41.00,25.00,Top,90
R5,6.00,9.00,Top,90
R6,27.00,3.50,Top,0
R7,23.00,1.50,Top,0
R8,3.00,4.00,Top,90
R9,5.00,4.00,Top,90
R10,8.00,5.50,Top,0
